parcel,HouseNum,Ext,Rear,Unit,Dir,Street,Des,address,I Desig Date1,I Desig Date2,D Desig Date,District,Int Desig Date,latitude,longitude
'888153635','558','','','B','N','17th','St','558 N 17th St','','','10/11/2000 0:00:00','SG','',39.9639887662675,-75.1662807145365
'888153640','558','','','C','N','17th','St','558 N 17th St','','','10/11/2000 0:00:00','SG','',39.9639887662675,-75.1662807145365
'888153645','558','','','D','N','17th','St','558 N 17th St','','','10/11/2000 0:00:00','SG','',39.9639887662675,-75.1662807145365
'888153650','558','','','E','N','17th','St','558 N 17th St','','','10/11/2000 0:00:00','SG','',39.9639887662675,-75.1662807145365
'888153655','558','','','F','N','17th','St','558 N 17th St','','','10/11/2000 0:00:00','SG','',39.9639887662675,-75.1662807145365
'888106612','317','','','2','S','17th','St','317 S 17th St','','','2/8/1995 0:00:00','RF','',39.9469309951381,-75.1694305543536
'882268800','3','05','','0000000','N','03rd','St','3-05 N 03rd St','','','12/12/2003 0:00:00','OC','',39.9504409468337,-75.1455001236022
'771736000','320','','','0000000','','Chestnut','St','320 Chestnut St','6/26/1956 0:00:00','','','','',39.9484993032464,-75.1470732035504
'152017900','1709','','','0000000','','Brandywine','St','1709 Brandywine St','','','10/11/2000 0:00:00','SG','',39.9639414491638,-75.1664966552344
'152017950','1711','','','0000000','','Brandywine','St','1711 Brandywine St','','','10/11/2000 0:00:00','SG','',39.9639537899775,-75.166556859247
'888152002','1713','29','','2','','Brandywine','St','1713-29 Brandywine St','','','10/11/2000 0:00:00','SG','',39.9639525715917,-75.1666247169398
'888152003','1713','29','','3','','Brandywine','St','1713-29 Brandywine St','','','10/11/2000 0:00:00','SG','',39.9639525715917,-75.1666247169398
'888152004','1713','29','','4','','Brandywine','St','1713-29 Brandywine St','','','10/11/2000 0:00:00','SG','',39.9639525715917,-75.1666247169398
'888152005','1713','29','','5','','Brandywine','St','1713-29 Brandywine St','','','10/11/2000 0:00:00','SG','',39.9639525715917,-75.1666247169398
'888152006','1713','29','','6','','Brandywine','St','1713-29 Brandywine St','','','10/11/2000 0:00:00','SG','',39.9639525715917,-75.1666247169398
'888152007','1713','29','','7','','Brandywine','St','1713-29 Brandywine St','','','10/11/2000 0:00:00','SG','',39.9639525715917,-75.1666247169398
'888152008','1713','29','','8','','Brandywine','St','1713-29 Brandywine St','','','10/11/2000 0:00:00','SG','',39.9639525715917,-75.1666247169398
'888152009','1713','29','','9','','Brandywine','St','1713-29 Brandywine St','','','10/11/2000 0:00:00','SG','',39.9639525715917,-75.1666247169398
'888152010','1713','29','','10','','Brandywine','St','1713-29 Brandywine St','','','10/11/2000 0:00:00','SG','',39.9639525715917,-75.1666247169398
'888152011','1713','29','','11','','Brandywine','St','1713-29 Brandywine St','','','10/11/2000 0:00:00','SG','',39.9639525715917,-75.1666247169398
'881537600','325','','','0000000','S','16th','St','325 S 16th St','','','2/8/1995 0:00:00','RF','',39.9465054759301,-75.1679730885445
'881537900','326','','','0000000','S','16th','St','326 S 16th St','','','2/8/1995 0:00:00','RF','',39.9467239665076,-75.1684072323152
'081154900','327','','','0000000','S','16th','St','327 S 16th St','','','2/8/1995 0:00:00','RF','',39.9464561650314,-75.1679785303429
'081157305','328','','','0000000','S','16th','St','328 S 16th St','','','2/8/1995 0:00:00','RF','',39.9466774797778,-75.1684161346311
'081155000','329','','','0000000','S','16th','St','329 S 16th St','','','2/8/1995 0:00:00','RF','',39.9464069343818,-75.1679875371801
'081157805','330','','','0000000','S','16th','St','330 S 16th St','','','2/8/1995 0:00:00','RF','',39.9466337370003,-75.1684249326889
'881537700','331','','','0000000','S','16th','St','331 S 16th St','','','2/8/1995 0:00:00','RF','',39.946355120277,-75.168003778355
'881538100','332','','','0000000','S','16th','St','332 S 16th St','','','2/8/1995 0:00:00','RF','',39.9465870095616,-75.1684231398108
'881538200','334','','','0000000','S','16th','St','334 S 16th St','','','2/8/1995 0:00:00','RF','',39.9465432667836,-75.1684319378524
'081157900','336','','','0000000','S','16th','St','336 S 16th St','','','2/8/1995 0:00:00','RF','',39.9465000054153,-75.1684621261956
'883049400','338','','','0000000','S','16th','St','338 S 16th St','','','2/8/1995 0:00:00','RF','',39.9464534384465,-75.1684674633948
'881538350','340','','','0000000','S','16th','St','340 S 16th St','','','2/8/1995 0:00:00','RF','',39.946407031946,-75.1684799306814
'081158210','342','','','0000000','S','16th','St','342 S 16th St','','','2/8/1995 0:00:00','RF','',39.9463632891634,-75.1684887286631
'081158300','344','','','0000000','S','16th','St','344 S 16th St','','','2/8/1995 0:00:00','RF','',39.946320108013,-75.168522481933
'081158400','346','','','0000000','S','16th','St','346 S 16th St','','','2/8/1995 0:00:00','RF','',39.9462729794095,-75.1685028637945
'881538400','348','','','0000000','S','16th','St','348 S 16th St','','','2/8/1995 0:00:00','RF','',39.9462293168581,-75.1685152267821
'881538500','350','','','0000000','S','16th','St','350 S 16th St','','','2/8/1995 0:00:00','RF','',39.9461828301195,-75.1685241289594
'081158900','402','','','0000000','S','16th','St','402 S 16th St','','','2/8/1995 0:00:00','RF','',39.945865093169,-75.1685611760115
'081159000','404','','','0000000','S','16th','St','404 S 16th St','','','2/8/1995 0:00:00','RF','',39.9458240141014,-75.1685663046152
'081159101','406','08','','0000000','S','16th','St','406-08 S 16th St','','','2/8/1995 0:00:00','RF','',39.9457666317765,-75.1685791886722
'081159200','410','12','','0000000','S','16th','St','410-12 S 16th St','','','2/8/1995 0:00:00','RF','',39.9457146571258,-75.1685882992208
'883429500','414','22','','0000000','S','16th','St','414-22 S 16th St','','','2/8/1995 0:00:00','RF','',39.9455151346198,-75.1687528728292
'081155500','415','','','0000000','S','16th','St','415 S 16th St','','','2/8/1995 0:00:00','RF','',39.9454407910134,-75.1682561705639
'081155600','417','','','0000000','S','16th','St','417 S 16th St','','','2/8/1995 0:00:00','RF','',39.9453970482471,-75.1682649685647
'081155700','419','','','0000000','S','16th','St','419 S 16th St','','','2/8/1995 0:00:00','RF','',39.9453533857207,-75.1682773315458
'081155800','421','','','0000000','S','16th','St','421 S 16th St','','','2/8/1995 0:00:00','RF','',39.9453096429527,-75.1682861295216
'081155900','423','','','0000000','S','16th','St','423 S 16th St','','','2/8/1995 0:00:00','RF','',39.945265900184,-75.1682949274861
'883232015','424','','','0000000','S','16th','St','424 S 16th St','','','2/8/1995 0:00:00','RF','',39.9452159796884,-75.1686393552377
'081156000','425','','','0000000','S','16th','St','425 S 16th St','','','2/8/1995 0:00:00','RF','',39.9452221574145,-75.1683037254392
'081156100','427','','','0000000','S','16th','St','427 S 16th St','','','2/8/1995 0:00:00','RF','',39.9451817202706,-75.1683373740128
'871072500','429','','','0000000','S','16th','St','429 S 16th St','','','2/8/1995 0:00:00','RF','',39.9451379774979,-75.1683461719277
'881035950','100','','','0000000','N','17th','St','100 N 17th St','1/7/1982 0:00:00','','','','',39.9552905711422,-75.1682030647351
'883530515','546','','','0000000','N','17th','St','546 N 17th St','','','10/11/2000 0:00:00','SG','',39.9635849903698,-75.1663995720192
'883530600','548','','','0000000','N','17th','St','548 N 17th St','','','10/11/2000 0:00:00','SG','',39.9636586755287,-75.1663789247179
'883530700','550','','','0000000','N','17th','St','550 N 17th St','','','10/11/2000 0:00:00','SG','',39.9636586755287,-75.1663789247179
'881809650','552','','','0000000','N','17th','St','552 N 17th St','','','10/11/2000 0:00:00','SG','',39.9638411550783,-75.1663113116298
'151030910','554','','','0000000','N','17th','St','554 N 17th St','','','10/11/2000 0:00:00','SG','',39.9638903855763,-75.1663023012675
'151031010','556','','','0000000','N','17th','St','556 N 17th St','','','10/11/2000 0:00:00','SG','',39.9639395357713,-75.1662897249276
'888153630','558','','','A','N','17th','St','558 N 17th St','','','10/11/2000 0:00:00','SG','',39.9639887662675,-75.1662807145365
